	doc_id	texts	field_id	can_targets	can_labels	cand_pos	can_tokens	tokens_pos
54	004.json	RM 51.00	background	Negative	total	[0.8466522678185745, 0.7743664717348928]	['item', 'qti', 'total', '<PAD/>', 'round', '<PAD/>', 'total', '<PAD/>', 'cash', '<PAD/>']	[[-0.6814254859611231, -0.10038986354775836], [-0.016198704103671746, -0.09892787524366475], [-0.7483801295896328, -0.06335282651072127], [-1, -1], [-0.5950323974082073, -0.041910331384015675], [-1, -1], [-0.6555075593952484, -0.020467836257309968], [-1, -1], [-0.7494600431965442, -0.0009746588693957392], [-1, -1]]
55	004.json	RM 20.10	background	Negative	total	[0.8520518358531317, 0.7958089668615984]	['total', '<PAD/>', 'round', '<PAD/>', 'total', '<PAD/>', 'cash', '<PAD/>', 'chang', '<PAD/>']	[[-0.7537796976241901, -0.08479532163742687], [-1, -1], [-0.6004319654427646, -0.06335282651072127], [-1, -1], [-0.6609071274298056, -0.041910331384015564], [-1, -1], [-0.7548596112311015, -0.022417153996101336], [-1, -1], [-0.7462203023758099, -0.0019493177387913674], [-1, -1]]
56	004.json	18-11-18 13 : 58 SH01 ZI53	date	Positive	date	[0.3120950323974082, 0.8372319688109162]	['total', 'cash', 'chang', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.12095032397408209, -0.08333333333333337], [-0.21490280777537796, -0.06384015594541914], [-0.20626349892008639, -0.04337231968810917], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
57	005.json	07-355 2616	background	Negative	date	[0.4816414686825054, 0.3181818181818182]	['taman', 'johor', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.012958963282937386, -0.07603305785123968], [-0.012958963282937386, -0.04132231404958675], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
58	005.json	09/01/2019 8:01:11 PM	date	Positive	date	[0.4524838012958963, 0.4570247933884298]	['cash', '<PAD/>', 'date', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.3099352051835853, -0.041322314049586806], [-1, -1], [-0.35529157667386607, -0.0033057851239669533], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
59	005.json	15.50	background	Negative	total	[0.6177105831533477, 0.6090909090909091]	['descript', 'qti', 'price', 'plastic', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.43088552915766737, -0.075206611570248], [-0.12095032397408206, -0.075206611570248], [0.011879049676025932, -0.07768595041322313], [-0.5086393088552915, 0.0024793388429751317], [-0.10367170626349886, 0.0049586776859503745], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
60	005.json	31.00	total	Positive	total	[0.7667386609071274, 0.6140495867768595]	['descript', 'qti', 'price', 'amount', '<PAD/>', 'plastic', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>']	[[-0.579913606911447, -0.08016528925619837], [-0.26997840172786175, -0.08016528925619837], [-0.13714902807775375, -0.0826446280991735], [0.02807775377969768, -0.07933884297520666], [-1, -1], [-0.6576673866090712, -0.0024793388429752428], [-0.25269978401727855, 0.0], [-0.1490280777537797, -0.0049586776859503745], [-1, -1], [-1, -1]]
61	005.json	31.00	total	Positive	total	[0.8369330453563715, 0.6702479338842975]	['<PAD/>', '<PAD/>', 'plastic', '<Number/>', '<Number/>', '<Number/>', 'total', '<PAD/>', '<PAD/>', '<PAD/>']	[[-1, -1], [-1, -1], [-0.7278617710583153, -0.05867768595041323], [-0.32289416846652264, -0.056198347107437985], [-0.21922246220302377, -0.06115702479338836], [-0.07019438444924408, -0.056198347107437985], [-0.33153347732181426, -0.0033057851239669533], [-1, -1], [-1, -1], [-1, -1]]
62	005.json	31.00	total	Positive	total	[0.816414686825054, 0.7123966942148761]	['plastic', '<Number/>', '<Number/>', '<Number/>', 'total', '<Number/>', 'total', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.7073434125269978, -0.1008264462809918], [-0.3023758099352052, -0.09834710743801656], [-0.19870410367170632, -0.10330578512396693], [-0.049676025917926636, -0.09834710743801656], [-0.3110151187904968, -0.045454545454545525], [0.02051835853131745, -0.04214876033057857], [-0.3801295896328294, -0.004132231404958664], [-1, -1], [-1, -1], [-1, -1]]
63	005.json	101.00	background	Negative	total	[0.826133909287257, 0.7446280991735538]	['total', '<Number/>', 'total', '<Number/>', 'cash', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.32073434125269984, -0.07768595041322324], [0.010799136069114423, -0.07438016528925628], [-0.3898488120950324, -0.036363636363636376], [-0.009719222462203025, -0.03223140495867771], [-0.40172786177105835, 0.0008264462809917106], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
64	005.json	70.00	background	Negative	total	[0.8401727861771058, 0.7867768595041322]	['total', '<Number/>', 'cash', '<Number/>', 'chang', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.40388768898488114, -0.07851239669421484], [-0.023758099352051754, -0.07438016528925617], [-0.4157667386609071, -0.04132231404958675], [-0.014038876889848728, -0.04214876033057846], [-0.36177105831533474, -0.0033057851239669533], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
65	009.json	ORD #50 -REG #19- 18/01/2018 10:27:03	date	Positive	date	[0.41804635761589404, 0.42511655011655014]	['tax', 'mfi', 'inv', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[0.023178807947019875, -0.09498834498834502], [0.033940397350993357, -0.05710955710955712], [-0.18543046357615894, -0.019813519813519864], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
66	009.json	11.00	background	Negative	total	[0.8178807947019867, 0.46445221445221446]	['mfi', 'inv', 'ord', 'qti', 'chicmcmuffin', 'total', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.3658940397350993, -0.09644522144522144], [-0.5852649006622517, -0.059149184149184186], [-0.3998344370860927, -0.03933566433566432], [-0.7177152317880794, -0.021853146853146876], [-0.607615894039735, -0.0020396270396270677], [-0.0033112582781456013, -0.020104895104895104], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
67	009.json	5.60	background	Negative	total	[0.8253311258278145, 0.4831002331002331]	['inv', 'ord', 'qti', 'chicmcmuffin', 'porridg', 'total', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.5927152317880795, -0.07779720279720281], [-0.4072847682119205, -0.05798368298368295], [-0.7251655629139072, -0.040501165501165504], [-0.6150662251655629, -0.020687645687645695], [-0.6365894039735099, -0.0002913752913752954], [-0.010761589403973426, -0.03875291375291373], [-0.007450331125827825, -0.018648018648018627], [-1, -1], [-1, -1], [-1, -1]]
68	009.json	10.00	background	Negative	total	[0.8170529801324503, 0.5014568764568764]	['inv', 'ord', 'qti', 'chicmcmuffin', 'porridg', 'hotcak', 'total', '<Number/>', '<Number/>', '<PAD/>']	[[-0.5844370860927153, -0.09615384615384615], [-0.3990066225165563, -0.07634032634032628], [-0.716887417218543, -0.058857808857808835], [-0.6067880794701986, -0.03904428904428903], [-0.6283112582781457, -0.018648018648018627], [-0.6059602649006622, -0.0005827505827505908], [-0.002483443708609201, -0.05710955710955706], [0.0008278145695364003, -0.03700466200466196], [0.008278145695364225, -0.018356643356643332], [-1, -1]]
69	009.json	26.60	total	Positive	total	[0.8145695364238411, 0.5585664335664335]	['chicmcmuffin', 'porridg', 'hotcak', 'coke', 'takeout', '<Number/>', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>']	[[-0.6043046357615894, -0.09615384615384615], [-0.6258278145695365, -0.07575757575757575], [-0.603476821192053, -0.05769230769230771], [-0.6258278145695365, -0.038461538461538436], [-0.5413907284768212, -0.0008741258741258306], [0.0033112582781456013, -0.09411421911421908], [0.010761589403973426, -0.07546620046620045], [0.002483443708609201, -0.05710955710955712], [-1, -1], [-1, -1]]
70	009.json	26.60	total	Positive	total	[0.8145695364238411, 0.5772144522144522]	['porridg', 'hotcak', 'coke', 'takeout', 'total', '<Number/>', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>']	[[-0.6258278145695365, -0.09440559440559443], [-0.603476821192053, -0.07634032634032639], [-0.6258278145695365, -0.05710955710955712], [-0.5413907284768212, -0.019522144522144513], [-0.6605960264900663, -0.0011655011655011815], [0.010761589403973426, -0.09411421911421913], [0.002483443708609201, -0.0757575757575758], [0.0, -0.018648018648018683], [-1, -1], [-1, -1]]
71	009.json	100.00	background	Negative	total	[0.8038079470198676, 0.5973193473193473]	['hotcak', 'coke', 'takeout', 'total', 'cash', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.5927152317880795, -0.0964452214452215], [-0.615066225165563, -0.07721445221445222], [-0.5306291390728477, -0.03962703962703962], [-0.6498344370860927, -0.021270396270396286], [-0.6514900662251656, -0.002039627039627012], [0.010761589403973537, -0.03875291375291379], [0.010761589403973537, -0.020104895104895104], [-1, -1], [-1, -1], [-1, -1]]
72	009.json	73.40	background	Negative	total	[0.8145695364238411, 0.6156759906759907]	['coke', 'takeout', 'total', 'cash', 'chang', '<Number/>', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>']	[[-0.6258278145695365, -0.09557109557109555], [-0.5413907284768212, -0.05798368298368295], [-0.6605960264900663, -0.03962703962703962], [-0.6622516556291391, -0.020396270396270344], [-0.7392384105960266, -0.0005827505827505908], [0.0, -0.05710955710955712], [0.0, -0.038461538461538436], [-0.010761589403973537, -0.018356643356643332], [-1, -1], [-1, -1]]
73	009.json	1.51	background	Negative	total	[0.8236754966887417, 0.6547202797202797]	['takeout', 'total', 'cash', 'chang', 'total', '<Number/>', '<Number/>', '<Number/>', '<Number/>', '<PAD/>']	[[-0.5504966887417219, -0.09702797202797198], [-0.669701986754967, -0.07867132867132864], [-0.6713576158940397, -0.05944055944055937], [-0.7483443708609272, -0.03962703962703962], [-0.5811258278145696, -0.002331002331002252], [-0.009105960264900625, -0.09615384615384615], [-0.009105960264900625, -0.07750582750582746], [-0.019867549668874163, -0.05740093240093236], [-0.009105960264900625, -0.03904428904428903], [-1, -1]]
74	011.json	RECEIPT #: CSP0393921 DATE: 15/06/2017	date	Positive	date	[0.4574468085106383, 0.36675700090334235]	['simplifi', 'cash', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[0.02726063829787234, -0.07588075880758804], [-0.33976063829787234, -0.030713640469738013], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
75	011.json	15.00	total	Positive	total	[0.6050531914893617, 0.4365401987353207]	['cash', 'receipt', 'salesperson', 'time', 'item', 'qti', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>']	[[-0.4873670212765957, -0.10049683830171635], [-0.14760638297872336, -0.06978319783197834], [-0.339095744680851, -0.057588075880758816], [0.05252659574468088, -0.05352303523035229], [-0.48803191489361697, -0.031616982836495056], [-0.13962765957446804, -0.02800361336946705], [-1, -1], [-0.4002659574468085, -0.004290876242095731], [-0.15757978723404248, -0.0015808491418247694], [-1, -1]]
76	011.json	15.00	total	Positive	total	[0.8284574468085106, 0.5185185185185185]	['<PAD/>', '<PAD/>', '<Number/>', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>', 'tal', '<Number/>', 'sub']	[[-1, -1], [-1, -1], [-0.6236702127659575, -0.08626919602529354], [-0.38098404255319146, -0.08355916892502258], [-0.22340425531914898, -0.0819783197831978], [-1, -1], [-1, -1], [-0.59375, -0.04426377597109299], [-0.24401595744680848, -0.041327913279132766], [-0.30119680851063835, -0.0006775067750677266]]
77	011.json	15.00	total	Positive	total	[0.7779255319148937, 0.5582655826558266]	['tal', '<Number/>', 'sub', 'disc', 'round', 'total', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.543218085106383, -0.0840108401084011], [-0.19348404255319152, -0.08107497741644087], [-0.2506648936170214, -0.040424570912375835], [-0.24002659574468088, -0.02777777777777779], [-0.20079787234042556, -0.013775971093044292], [-0.5618351063829787, -0.0018066847335140857], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
78	011.json	15.00	total	Positive	total	[0.7792553191489362, 0.5727190605239386]	['tal', '<Number/>', 'sub', 'disc', 'round', 'total', '<Number/>', 'cash', '<PAD/>', '<PAD/>']	[[-0.5445478723404256, -0.09846431797651312], [-0.19481382978723405, -0.0955284552845529], [-0.2519946808510639, -0.054878048780487854], [-0.24135638297872342, -0.04223125564588981], [-0.2021276595744681, -0.02822944896115631], [-0.5631648936170213, -0.016260162601626105], [-0.0013297872340425343, -0.014453477868112019], [-0.5797872340425532, -0.0024841915085818123], [-1, -1], [-1, -1]]
79	011.json	14.15	background	Negative	total	[0.47273936170212766, 0.6928635953026197]	['gst', 'gst', 'code', 'amount', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.0013297872340425343, -0.08062330623306224], [0.0, -0.054200542005420016], [-0.3537234042553191, -0.026874435411020747], [-0.010638297872340441, -0.027100271002709952], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
80	011.json	0.85	background	Negative	total	[0.8184840425531915, 0.6933152664859982]	['gst', 'gst', 'code', 'amount', '<PAD/>', 'tax', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>']	[[-0.3470744680851064, -0.08107497741644076], [-0.34574468085106386, -0.05465221318879854], [-0.699468085106383, -0.02732610659439927], [-0.3563829787234043, -0.027551942186088474], [-1, -1], [-0.027260638297872397, -0.026874435411020747], [-1, -1], [-0.34574468085106386, -0.0004516711833785214], [-0.19015957446808518, -0.0002258355916892052], [-1, -1]]
81	011.json	0.85	background	Negative	total	[0.8178191489361702, 0.7339656729900632]	['gst', 'code', 'amount', '<PAD/>', 'tax', '<PAD/>', '<Number/>', '<Number/>', '<Number/>', 'tax']	[[-0.3450797872340426, -0.09530261969286358], [-0.6988031914893618, -0.06797651309846431], [-0.35571808510638303, -0.06820234869015351], [-1, -1], [-0.02659574468085113, -0.06752484191508579], [-1, -1], [-0.3450797872340426, -0.04110207768744356], [-0.1894946808510639, -0.040876242095754245], [0.0006648936170212671, -0.04065040650406504], [-0.2606382978723405, -0.0006775067750677266]]
82	012.json	1.00	background	Negative	total	[0.1539491298527443, 0.46706798866855526]	['cashler', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[0.012717536813922348, -0.0931303116147309], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
83	012.json	15.90	total	Positive	total	[0.4504685408299866, 0.4695467422096317]	['cashler', 'cashier', 'mmx', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.2838018741633199, -0.09560906515580736], [-0.03882195448460507, -0.09277620396600567], [-0.18406961178045517, -0.028682719546742175], [-0.2965194109772423, -0.0024787535410764616], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
84	012.json	15.90	total	Positive	total	[0.643908969210174, 0.46990084985835695]	['cashler', 'cashier', '<PAD/>', 'mmx', '<Number/>', '<PAD/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.4772423025435074, -0.09596317280453259], [-0.2322623828647925, -0.0931303116147309], [-1, -1], [-0.3775100401606426, -0.029036827195467407], [-0.4899598393574297, -0.002832861189801694], [-1, -1], [-0.19344042838018743, -0.0003541076487252326], [-1, -1], [-1, -1], [-1, -1]]
85	012.json	15.90	total	Positive	total	[0.642570281124498, 0.5024787535410765]	['mmx', '<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'subtot', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.37617135207496655, -0.061614730878186974], [-0.48862115127175365, -0.03541076487252126], [-1, -1], [-0.19210174029451138, -0.0329320113314448], [0.0013386880856760541, -0.03257790368271957], [-0.32396251673360105, -0.0003541076487252326], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
86	012.json	15.00	background	Negative	total	[0.64190093708166, 0.5382436260623229]	['mmx', '<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'subtot', '<Number/>', 'total', '<PAD/>', '<PAD/>']	[[-0.3755020080321285, -0.09737960339943336], [-0.4879518072289156, -0.07117563739376764], [-1, -1], [-0.19143239625167335, -0.06869688385269118], [0.002008032128514081, -0.06834277620396595], [-0.323293172690763, -0.036118980169971615], [0.0006693440428380271, -0.03576487252124638], [-0.38821954484605087, -0.001770538243626052], [-1, -1], [-1, -1]]
87	012.json	15.90	total	Positive	total	[0.6412315930388219, 0.5690509915014165]	['<Number/>', '<PAD/>', '<Number/>', 'subtot', '<Number/>', 'total', '<Number/>', 'total', '<PAD/>', '<PAD/>']	[[-0.4872824631860776, -0.10198300283286121], [-1, -1], [-0.19076305220883533, -0.09950424929178475], [-0.322623828647925, -0.06692634560906519], [0.0013386880856760541, -0.06657223796033995], [-0.38755020080321284, -0.03257790368271962], [0.0006693440428380271, -0.03080736543909357], [-0.38353413654618473, -0.002478753541076517], [-1, -1], [-1, -1]]
88	012.json	15.90	total	Positive	total	[0.6392235609103079, 0.6012747875354107]	['subtot', 'total', '<Number/>', 'total', '<Number/>', 'total', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.3206157965194109, -0.09915014164305946], [-0.38554216867469876, -0.0648016997167139], [0.0026773761713521083, -0.06303116147308785], [-0.38152610441767065, -0.034702549575070796], [0.002008032128514081, -0.03222379603399428], [-0.396251673360107, -0.001770538243626052], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
89	012.json	50.00	background	Negative	total	[0.6372155287817939, 0.6292492917847026]	['total', '<Number/>', 'total', '<Number/>', 'total', '<Number/>', 'payment', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.3835341365461848, -0.09277620396600572], [0.004685408299866078, -0.09100566572237967], [-0.3795180722891567, -0.06267705382436262], [0.004016064257028051, -0.0601983002832861], [-0.39424364123159306, -0.029745042492917873], [0.00200803212851397, -0.02797450424929182], [-0.3266398929049532, 0.0010623229461755868], [-1, -1], [-1, -1], [-1, -1]]
90	012.json	34.10	background	Negative	total	[0.6378848728246319, 0.6565155807365439]	['total', '<Number/>', 'total', '<Number/>', 'payment', '<Number/>', 'chang', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.3801874163319947, -0.08994334277620397], [0.0033467202141900243, -0.08746458923512745], [-0.3949129852744311, -0.05701133144475923], [0.001338688085675943, -0.055240793201133176], [-0.32730923694779124, -0.02620396600566577], [-0.0006693440428380271, -0.027266288951841355], [-0.354082998661312, 0.0014164305949008194], [-1, -1], [-1, -1], [-1, -1]]
91	012.json	15.00	background	Negative	total	[0.5180722891566265, 0.7606232294617564]	['chang', 'total', '<PAD/>', 'amount', '<PAD/>', '<PAD/>', 'ummari', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.23427041499330659, -0.10269121813031168], [-0.3192771084337349, -0.06905099150141647], [-1, -1], [-0.05823293172690763, -0.033286118980169976], [-1, -1], [-1, -1], [-0.2697456492637216, -0.03222379603399439], [-1, -1], [-1, -1], [-1, -1]]
92	012.json	0.90	background	Negative	total	[0.750334672021419, 0.7606232294617564]	['chang', 'total', '<PAD/>', 'amount', 'tax', '<PAD/>', '<PAD/>', '<Number/>', 'ummari', '<PAD/>']	[[-0.4665327978580991, -0.10269121813031168], [-0.5515394912985274, -0.06905099150141647], [-1, -1], [-0.29049531459170014, -0.033286118980169976], [-0.03480589022757696, -0.034348441926345674], [-1, -1], [-1, -1], [-0.2322623828647925, 0.0], [-0.5020080321285141, -0.03222379603399439], [-1, -1]]
93	014.json	DATE: 22/12/2017	date	Positive	date	[0.808974358974359, 0.1668297455968689]	['<PAD/>', 'batu', 'jalan', 'gst', 'tax', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-1, -1], [-0.275, -0.08757338551859101], [-0.2775641025641026, -0.07045009784735813], [-0.27692307692307694, -0.036448140900195686], [-0.2782051282051282, -0.013209393346379661], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
94	014.json	0.85	background	Negative	total	[0.4987179487179487, 0.26956947162426614]	['doc', '<PAD/>', 'cashier', 'eira', 'salesperson', 'item', 'qti', 'price', '<Number/>', '<Number/>']	[[-0.3384615384615385, -0.09466731898238748], [-1, -1], [-0.3391025641025641, -0.07558708414872797], [-0.12307692307692308, -0.07460861056751467], [-0.2326923076923077, -0.05503913894324852], [-0.3730769230769231, -0.01761252446183953], [-0.1282051282051282, -0.015410958904109595], [-0.0006410256410256387, -0.015410958904109595], [-0.2980769230769231, -0.0014677103718199747], [-0.12884615384615383, -0.00024461839530331986]]
95	014.json	0.90	background	Negative	total	[0.6371794871794871, 0.26810176125244617]	['eira', 'salesperson', 'item', 'qti', 'price', 'gst', 'price', '<Number/>', '<Number/>', '<Number/>']	[[-0.2615384615384615, -0.07314090019569469], [-0.3711538461538461, -0.05357142857142855], [-0.5115384615384615, -0.016144814090019555], [-0.2666666666666666, -0.01394324853228962], [-0.13910256410256405, -0.01394324853228962], [0.0012820512820512775, -0.02788649706457924], [0.0, -0.015900195694716235], [-0.4365384615384615, 0.0], [-0.26730769230769225, 0.0012230919765166548], [-0.1384615384615384, 0.0014677103718199747]]
96	014.json	15.25	background	Negative	total	[0.8185897435897436, 0.26467710371819964]	['time', 'salesperson', 'ref', 'item', 'qti', 'price', 'gst', 'gst', 'price', 'amount']	[[-0.028205128205128216, -0.07705479452054798], [-0.5525641025641026, -0.050146771037182014], [-0.09807692307692306, -0.05381604696673192], [-0.6929487179487179, -0.012720156555773021], [-0.44807692307692304, -0.010518590998043087], [-0.3205128205128205, -0.010518590998043087], [-0.18012820512820515, -0.024461839530332707], [-0.0038461538461538325, -0.028864970645792604], [-0.18141025641025643, -0.012475538160469701], [-0.017948717948717885, -0.015655577299412943]]
97	014.json	3.55	background	Negative	total	[0.49615384615384617, 0.3074853228962818]	['salesperson', 'item', 'qti', 'price', '<Number/>', '<Number/>', '<Number/>', 'delicia', '<Number/>', '<Number/>']	[[-0.23012820512820514, -0.09295499021526415], [-0.37051282051282053, -0.05552837573385516], [-0.12564102564102564, -0.05332681017612523], [0.0019230769230769162, -0.05332681017612523], [-0.2955128205128205, -0.03938356164383561], [-0.12628205128205128, -0.03816046966731895], [0.002564102564102555, -0.03791585127201563], [-0.20256410256410257, -0.019814090019569464], [-0.2974358974358975, -0.0014677103718199191], [-0.13012820512820517, 0.0]]
98	014.json	3.55	background	Negative	total	[0.6346153846153846, 0.3062622309197652]	['gst', 'price', '<Number/>', '<Number/>', '<Number/>', '<Number/>', 'delicia', '<Number/>', '<Number/>', '<Number/>']	[[0.0038461538461538325, -0.06604696673189825], [0.002564102564102555, -0.05406066536203524], [-0.43397435897435893, -0.03816046966731901], [-0.2647435897435897, -0.03693737769080235], [-0.13589743589743586, -0.03669275929549903], [0.002564102564102555, -0.03816046966731901], [-0.341025641025641, -0.018590998043052864], [-0.4358974358974359, -0.00024461839530331986], [-0.2685897435897436, 0.0012230919765165993], [-0.1384615384615384, 0.0012230919765165993]]
99	014.json	3.55	background	Negative	total	[0.823076923076923, 0.30406066536203524]	['price', 'amount', '<Number/>', '<Number/>', '<Number/>', '<Number/>', '<Number/>', 'delicia', '<Number/>', '<Number/>']	[[-0.1858974358974359, -0.05185909980430531], [-0.022435897435897356, -0.05503913894324855], [-0.6224358974358974, -0.035958904109589074], [-0.45320512820512815, -0.03473581213307242], [-0.3243589743589743, -0.0344911937377691], [-0.1858974358974359, -0.035958904109589074], [-0.004487179487179471, -0.03938356164383561], [-0.5294871794871794, -0.01638943248532293], [-0.6243589743589744, 0.0019569471624266144], [-0.18846153846153846, 0.0022015655577299342]]
